Algoritmo,Silh,Calinski-Harabasz,Parámetro,N. clusters
DBScan,-0.34,59.19,0.10,13
DBScan,0.25,492.42,0.15,2
DBScan,0.34,139.16,0.20,2
DBScan,0.35,43.38,0.25,2
DBScan,0.37,20.70,0.30,2
DBScan,0.39,14.29,0.35,2
KMeans,0.28,1927.36,2.00,2
KMeans,0.29,2031.81,3.00,3
KMeans,0.25,1734.67,4.00,4
KMeans,0.22,1535.91,5.00,5
KMeans,0.20,1409.53,6.00,6
KMeans,0.19,1335.62,7.00,7
KMeans,0.19,1235.59,8.00,8
KMeans,0.18,1168.57,9.00,9
Ward,0.21,1280.85,2.00,2
Ward,0.22,1611.55,3.00,3
Ward,0.20,1400.32,4.00,4
Ward,0.15,1236.06,5.00,5
Ward,0.15,1128.03,6.00,6
Ward,0.13,1045.59,7.00,7
Ward,0.13,993.35,8.00,8
Ward,0.12,925.92,9.00,9
Birch,0.22,1045.99,2.00,2
Birch,0.24,1499.04,3.00,3
Birch,0.22,1302.90,4.00,4
Birch,0.21,1066.88,5.00,5
Birch,0.15,1024.14,6.00,6
Birch,0.15,953.29,7.00,7
Birch,0.13,905.71,8.00,8
Birch,0.13,817.72,9.00,9
